Item,Issue ID,Phase,Type,Priority,Area,Estimate (days),Status,Acceptance
"Multi-Tenant Rewrite (Account + N Vaults)",MT-EPIC,MT-0,Epic,Critical,"docs,architecture",0,Planning,"Tracking issue. Sub-items: MT-1 to MT-20. Acceptance: every sub-item in Done state."
"Documentation pass + MkDocs build verification",MT-19,MT-0,Task,High,"docs",1,Planning,"mkdocs build --strict passes; all cross-links resolve; nav order matches rollout phase order."
"Schema lift: drop unique index, add default_vault_id, slug, kind, archived_at",MT-1,MT-1,Task,Critical,"backend,data-model",1,Not started,"Non-unique index on vaults.user_id; new columns added; forward+backward migration tested."
"Backfill default_vault_id for existing users",MT-15,MT-1,Task,High,"backend,ops",1,Not started,"Idempotent backfill rake task; dry-run mode; tested on staging snapshot."
"Model refactor: User has_many :owned_vaults, vault.owner, owns? predicate",MT-2,MT-2,Task,Critical,"backend,data-model",2,Not started,"User#owns? predicate; vault.owner alias; legacy user.vault shim retained for one release."
"Vault quota enforcement on create",MT-3,MT-2,Task,High,"backend",1,Not started,"AccountCapability.vault_quota check; 422 vault_quota_exceeded response; operator unlimited."
"Active vault resolver (header + param + default fallback)",MT-4,MT-2,Task,Critical,"backend,api",2,Not started,"ApplicationController#current_vault; 409 active_vault_required with owned vault list; 404 on foreign vault."
"Plural /api/v1/my/vaults endpoints",MT-5,MT-3,Task,Critical,"backend,api",2,Not started,"index/show/create/update/archive/restore; PATCH /my/default_vault; controller tests green."
"Deprecated alias retention for /my/vault (singular)",MT-6,MT-3,Task,Medium,"backend,api",1,Not started,"Deprecation header on singular routes; tests tagged @deprecated."
"Re-scope /my/contents, /my/analytics, /my/audit_logs to active vault",MT-7,MT-3,Task,Critical,"backend,api",2,Not started,"All /my/* controllers use current_vault; tests send X-BK-Active-Vault."
"BKC vault switcher (top-right dropdown)",MT-8,MT-4,Task,High,"bkc,frontend",2,Not started,"Cookie-persisted active vault; ViewComponent for switcher; system test on two-vault account."
"BKC: re-scope dashboard, contents, viewers, links, forensics, analytics",MT-9,MT-4,Task,Critical,"bkc,backend",3,Not started,"Switching vault swaps all lists/counters; active vault name in BKC header."
"Operator-only override flow per active vault",MT-18,MT-4,Task,High,"backend,bkc,security",2,Not started,"OperatorOverride model; red banner in BKC; audit rows tagged actor_role: operator."
"Vault soft-archive flow",MT-13,MT-4,Task,Medium,"backend,frontend,bkc",1,Not started,"Archive + restore endpoints; modal confirmation; switcher hides archived vaults."
"Flutter client: context switcher UI + secure storage",MT-10,MT-5,Task,Critical,"flutter,frontend",3,Not started,"VaultSwitcher widget; secure storage persistence; accessibility labels."
"Flutter client: X-BK-Active-Vault header on every request",MT-11,MT-5,Task,Critical,"flutter,frontend,api",1,Not started,"Dio interceptor sets header; 409 opens switcher; 403 permission_revoked re-fetches context."
"Empty-state UI for zero-vault accounts",MT-12,MT-5,Task,Medium,"flutter,frontend,bkc",1,Not started,"Create-vault and have-invitation CTAs; copy reviewed for disability/LGBTQ inclusion."
"Deprecation header rollout + telemetry",MT-17,MT-6,Task,Medium,"backend,ops",1,Not started,"Per-request log; daily aggregation; removal PR scheduled."
"Cross-vault data-leakage test sweep",MT-14,MT-7,Task,Critical,"testing,security",2,Not started,"Cross-vault read/write/audit/analytics denied; cache key sweep; header forgery handled."
"Audit log per-vault verification",MT-16,MT-7,Task,High,"backend,security",1,Not started,"audit_logs.vault_id NOT NULL; presence validation; BKC viewer filtered by active vault."
"v1 release gate: cross-vault penetration test sign-off",MT-20,MT-7,Task,Critical,"testing,security,release",2,Not started,"Pentest sign-off doc merged; no Critical/High findings open."
